id_sacre,lon,lat
P219,-49.11531374,-22.33864831
P220,-49.05041271,-22.34115824
P221,-49.01075841,-22.37595735
P222,-49.0963003,-22.3682631
P223,-49.05971959,-22.31558727
P224,-49.09279821,-22.35884812
P225,-49.06865968,-22.32741566
P227,-49.06306841,-22.30838484
P228,-49.05976518,-22.33944639
P229,-49.10784665,-22.34786284
P230,-49.09136246,-22.33253409
P231,-49.09125788,-22.33943225
P232,-49.06327028,-22.32617737
P234,-49.06685716,-22.33664142
P235,-49.05383518,-22.33523929
P236,-49.06398754,-22.33939757
P237,-48.97993624,-22.31280669
P238,-49.10327855,-22.2880083
P239,-49.05126644,-22.30604903
P241,-49.06968884,-22.32753629
P242,-49.0595536,-22.33313154
P243,-49.01868375,-22.3843166
P244,-49.01868375,-22.3843166
P245,-49.15909988,-22.22613
P246,-49.05018192,-22.36095017
P247,-49.14262698,-22.224859
P248,-49.18087957,-22.32637529
P249,-49.01868375,-22.3843166
P250,-49.09154533,-22.35845407
P251,-49.06864117,-22.33122632
P252,-49.05319397,-22.33723635
P253,-49.03705465,-22.36740173
P254,-49.03921556,-22.36416796
P255,-49.03454748,-22.37115502
P257,-49.03855586,-22.36517137
P258,-49.03598798,-22.36502283
P259,-49.03530661,-22.36528547
P260,-49.03929124,-22.36229959
P261,-49.03500048,-22.3662751
P262,-49.03491533,-22.35643096
P264,-49.0384909,-22.36821382
P265,-49.02300842,-22.31008157
P266,-49.05075229,-22.34912718
P268,-49.07106312,-22.32465385
P269,-49.01679253,-22.34410934
P270,-49.08972042,-22.34411906
P272,-49.05106457,-22.33881817
P273,-49.02895987,-22.33851457
P274,-49.02959982,-22.33891066
P275,-49.1079315,-22.3333064
P276,-49.08117286,-22.38803286
P277,-48.99999796,-22.30509071
P278,-49.18091525,-22.33185747
P279,-49.02234761,-22.3285909
P280,-49.02602419,-22.31225463
P281,-49.06874072,-22.3167335
P282,-49.07525177,-22.34887842
P283,-49.05088003,-22.31353968
P284,-49.05476102,-22.32587678
P285,-48.9822684,-22.31300731
P286,-49.02574536,-22.30951503
P287,-48.98228664,-22.31308881
P288,-49.05333143,-22.31222359
P289,-49.06385478,-22.31174456
P290,-49.05897936,-22.31079224
P291,-49.05561237,-22.36847465
P292,-49.06144085,-22.33887044
P293,-49.04845442,-22.34445785
P294,-49.01369077,-22.31225752
P295,-49.11419618,-22.34753956
P296,-49.03386921,-22.34989833
P297,-49.06298155,-22.27371554
P298,-49.06418666,-22.31273285
P299,-49.06133602,-22.32861957
P300,-49.02990858,-22.33634979
P302,-49.06892685,-22.20241739
P303,-49.06693181,-22.284211
P304,-49.06555552,-22.27694441
P306,-49.12946987,-22.30255388
P307,-49.1339984,-22.31378617
P308,-49.1340758,-22.31380512
P310,-49.06837215,-22.33750836
P311,-49.05987026,-22.32020366
P312,-49.08146389,-22.38776389
P313,-49.08650368,-22.30060777
P314,-49.09677493,-22.32610474
P315,-49.10668957,-22.36114243
P317,-49.1153947,-22.3677732
P319,-49.10956092,-22.35046563
P320,-49.08522227,-22.30177566
P322,-49.06279488,-22.34463906
P323,-49.07733818,-22.34624823
P324,-49.08059837,-22.38269804
P325,-49.02169589,-22.32194563
P326,-49.09410338,-22.36567256
P327,-49.04759789,-22.3592484
P328,-49.03584514,-22.36752251
P329,-49.08912701,-22.34534925
P330,-49.07641198,-22.32212566
P331,-49.08746326,-22.34924888
P332,-49.04850212,-22.35601738
P333,-49.07670683,-22.3289382
P334,-49.09728667,-22.35989774
P335,-49.10556515,-22.28914706
P336,-49.10556515,-22.28914706
P338,-49.09129126,-22.32478499
P339,-49.07780442,-22.34764447
P343,-49.08217288,-22.34864448
P344,-49.07748759,-22.37977132
P347,-49.02780703,-22.38226157
P348,-49.03107944,-22.37742506
P349,-49.02783249,-22.38045581
P350,-49.02145352,-22.38282512
P351,-49.08030044,-22.38353434
P352,-49.07923438,-22.381544
P353,-49.07923801,-22.3815621
P354,-49.0793403,-22.3820329
P355,-48.98541767,-22.31814854
P356,-49.01652777,-22.31045909
P359,-49.05968951,-22.33334087
P360,-49.02651479,-22.3689622
P361,-49.07782465,-22.34560381
P363,-49.04399753,-22.2994957
P364,-49.01757127,-22.3092076
P365,-49.05192668,-22.31903376
P366,-49.04720428,-22.35899983
P367,-49.03395065,-22.31328108
P368,-49.07489906,-22.29053681
P369,-49.06379666,-22.34274561
P370,-49.12261588,-22.30708038
P371,-49.0024321,-22.32948442
P372,-49.10059787,-22.36152259
P373,-49.10668957,-22.36114243
P374,-49.0669093,-22.31172682
P375,-49.09432258,-22.34799323
P376,-49.00847854,-22.32467346
P377,-49.08444445,-22.34055559
P378,-49.0938404,-22.36851409
P380,-49.09342874,-22.34219409
P381,-49.06421042,-22.31312144
P382,inf,inf
P383,-49.07042015,-22.32778882
P384,-49.02981039,-22.31051267
P385,-49.02091501,-22.32218895
P386,-49.06784854,-22.33394409
P387,-49.02878907,-22.38147887
P388,-49.04430816,-22.33264119
P389,-48.97613601,-22.32274667
P390,-48.97660102,-22.32072069
P391,-48.97660102,-22.32072069
P392,-49.06772627,-22.28500612
P393,-49.05324837,-22.33604498
P394,-49.06096624,-22.34007891
P395,-49.08015162,-22.32710069
P396,-49.07192781,-22.32741846
P397,-49.03998253,-22.19853144
P398,-49.0702566,-22.33939111
P399,-49.09172627,-22.34374536
P400,-49.05574615,-22.31761668
P401,-49.05574615,-22.31761668
P402,-49.05574615,-22.31761668
P403,-49.02907267,-22.30872472
P404,-49.022423,-22.30712665
P405,-49.01572624,-22.30564514
P406,-49.07120383,-22.33234955
P407,-49.0383277,-22.31050758
P408,-49.01961885,-22.31059621
P409,-49.10696445,-22.3478435
P410,-49.02687168,-22.30581725
P411,-49.02662294,-22.30576908
P412,-49.10139575,-22.3397591
P413,-49.09956814,-22.36163693
P416,-49.07284723,-22.35578526
P417,-49.07216172,-22.29908335
P419,-49.10534812,-22.2916267
P420,-49.07862963,-22.32483404
P421,-49.07452252,-22.35771967
P422,-49.03512572,-22.33630479
P423,-49.03147795,-22.33512268
P424,-49.03114048,-22.33026023
P426,-49.11609858,-22.33406082
P427,-49.11609858,-22.33406082
P428,-49.02588096,-22.3156754
P429,-49.11254338,-22.31808026
P430,inf,inf
P431,-48.9923876,-22.31452359
P432,-49.05897936,-22.31079224
P433,-49.05897936,-22.31079224
P434,-49.05897936,-22.31079224
P441,-49.09558667,-22.33876978
P442,-49.07756165,-22.34588063
P443,-49.04488885,-22.36400181
P444,-49.04511232,-22.32836144
P445,-49.02037928,-22.31234835
P446,-49.11722697,-22.33337857
P448,-49.02696522,-22.31124566
P449,-49.10630447,-22.26435606
P450,-49.06037371,-22.33552541
P451,-49.03825212,-22.33729088
P453,-49.06795275,-22.32898758
P454,-49.06072651,-22.36992671
P455,-49.01313198,-22.3078529
P456,-49.088598,-22.3313185
P458,-49.07230436,-22.39308378
P459,-49.05666803,-22.2805936
P461,-49.09928709,-22.30452386
P462,-49.05168786,-22.34209469
P463,-49.06305224,-22.34013592
P464,-49.05504103,-22.32129266
P465,-49.05673123,-22.36313304
P466,-49.06022202,-22.33259772
P467,-49.06583502,-22.34677047
P468,-49.05482253,-22.32249109
P470,-49.01954704,-22.31059533
P471,-49.09645351,-22.35213625
P472,-49.05761346,-22.35918684
P473,-49.05273583,-22.28840302
P474,-49.06072651,-22.36992671
P475,-49.05623801,-22.33605379
P476,-49.06771062,-22.29567102
P477,-49.04554727,-22.36162574
P478,-49.08957692,-22.32601101
P480,-49.04727572,-22.32223779
P481,-49.05717313,-22.33084539
P482,-49.0675511,-22.29351082
P483,-49.03389243,-22.33523327
P484,-49.09388,-22.37102506
P485,-49.02480369,-22.31056915
P486,-49.02480369,-22.31056915
P488,-49.05029405,-22.34040728
P489,-49.04506197,-22.34297207
P490,-49.06228734,-22.34034351
P491,-49.06277478,-22.32670425
P492,-48.98445449,-22.31364855
